Reactions,Flux
FRUtex,0
FTHFD,0
FTHFLi,0
FUCtex,0
FUCtpp,0
FUM,0.172
FUMt2_2pp,0
FUMt2_3pp,0
FUMtex,0
FUSAtex,0
FUSAtpp,0
G1PACT,0.023
G1PPpp,0
G1PTT,0
G1Ptex,0
G1SAT,0.001
G2PP,0
G2PPpp,0
G3PAT120,0
G3PAT140,0
G3PAT141,0
G3PAT160,0.015
G3PAT161,0.018
G3PAT180,0
G3PAT181,0
G3PCabcpp,0
G3PCtex,0
G3PD2,-0.034
G3PD5,0
G3PD6,0
G3PD7,0
G3PEabcpp,0
G3PEtex,0
G3PGabcpp,0
G3PGtex,0
G3PIabcpp,0
G3PItex,0
G3PSabcpp,0
G3PStex,0
G3PT,0
G5SADs,0.053
G5SD,0.053
G6PDA,0
G6PDH2r,-0
G6PP,0
G6Pt6_2pp,0
G6Ptex,0
GAL1PPpp,0
GAL1Ptex,0
GALBDtex,0
GALCTD,0
GALCTLO,0
GALCTND,0
GALCTNLt2pp,0
GALCTNLtex,0
GALCTNt2pp,0
GALCTNtex,0
GALCTt2rpp,0
GALCTtex,0
GALKr,0
GALM2pp,0
GALS3,0
GALT1,0
GALTptspp,0
GALTtex,0
GALURt2rpp,-0
GALURtex,-0
GALUi,0
GALabcpp,0
GALt2pp,0
GALtex,0
GAM6Pt6_2pp,0
GAMAN6Ptex,0
GAMptspp,0
GAMtex,0
GAPD,19.419
GARFT,0.081
GART,0.027
GBBTNtex,0
GCALDD,0
GDMANE,0
GDPDPK,0
GDPMNH,0
GDPMNP,0
GDPTPDP,0
GDPtex,-0
GF6PTA,0.023
GGGABADr,0
GGGABAH,0
GGPTRCO,0
GGPTRCS,0
GHBDHx,0
GHMT2r,0.256
GK1,0.059
GLBRAN2,0
GLCATr,0
GLCDpp,0
GLCNt2rpp,0
GLCNtex,0
GLCP,0
GLCP2,0
GLCRAL,0
GLCRD,0
GLCRt2rpp,0
GLCRtex,0
GLCS1,0
GLCTR1,0
GLCTR2,0
GLCTR3,0
GLCUR1Ptex,0
GLCURt2rpp,-0
GLCURtex,-0
GLCabcpp,0
GLCptspp,10
GLCt2pp,0
GLCtex_copy1,0
GLCtex_copy2,10
GLDBRAN2,0
GLGC,0
GLNS,0.437
GLNTRS,0
GLNabcpp,0
GLNtex,0
GLTPD,0
GLU5K,0.053
GLUABUTt7pp,-0
GLUCYS,0
GLUDC,0
GLUDy,-2.052
GLUN,0
GLUNpp,0
GLUPRT,0.108
GLUR,-0.007
GLUSy,0
GLUTRR,0.001
GLUTRS,0.001
GLUabcpp,0
GLUt2rpp,0
GLUt4pp,0
GLUtex,0
GLXCL,0
GLYALDtex,0
GLYALDtpp,0
GLYAT,-0
GLYBabcpp,0
GLYBt2pp,0
GLYBtex,0
GLYC2Pabcpp,0
GLYC2Ptex,0
GLYC3Pabcpp,0
GLYC3Pt6pp,0
GLYC3Ptex,0
GLYCAt2rpp,0
GLYCAtex,0
GLYCDx,0
GLYCK,0
GLYCK2,0
GLYCL,0
GLYCLTDx,0
GLYCLTDy,0
GLYCLTt2rpp,-0
GLYCLTt4pp,0
GLYCLTtex,-0
GLYCTO2,0
GLYCTO3,0
GLYCTO4,0
GLYCtex,0
GLYCtpp,-0
GLYK,0
GLYOX,0
GLYOX3,0
GLYTRS,0
GLYt2pp_copy1,0
GLYt2pp_copy2,0
GLYt4pp,-0
GLYtex,0
GMAND,0
GMHEPAT,0
GMHEPK,0
GMHEPPA,0
GMPR,0
GMPS2,0.059
GMPtex,0
GND,0
GNK,0
GOFUCR,0
GP4GH,-0
GPDDA1,0
GPDDA1pp,0
GPDDA2,0
GPDDA2pp,0
GPDDA3,0
GPDDA3pp,0
GPDDA4,0
GPDDA4pp,0
GPDDA5,0
GPDDA5pp,0
GRTT,0
GRXR,-0
GSNK,0
GSNt2pp,0
GSNtex,0
GSPMDA,0
GSPMDS,0
GTHOXtex,0
GTHOr,-0
GTHPi,0
GTHRDHpp,0
GTHRDabc2pp,0
GTHRDabcpp,0
GTHRDtex,0
GTHS,0
GTPCI,0
GTPCII2,0
GTPDPDP,0
GTPDPK,0
GTPHs,0
GTPtex,0
GUACYC,0
GUAD,0
GUAPRT,0
GUAt2pp,0
GUAtex,0
GUAtpp,0
GUI1,-0
GUI2,-0
GUR1PPpp,0
H2O2tex,0
H2Otex,1.709
H2Otpp,1.709
H2SO,0
H2St1pp,0
H2Stex,0
H2tex,-0
H2tpp,0
HACD1,0.086
HACD2,0.086
HACD3,0.086
HACD4,0.086
HACD5,0.086
HACD6,0.067
HACD7,0.067
HACD8,-0
HADPCOADH3,0
HBZOPT,0
HCINNMt2rpp,0
HCINNMtex,0
HCO3E,0.127
HCYSMT,0
HCYSMT2,0
HDCAtexi,0
HDCEAtexi,0
HEMEOS,0
HEPK1,0
HEPK2,0
HEPT1,0
HEPT2,0
HEPT3,0
HEPT4,0
HETZK,-0
HEX1,0
HEX4,0
HEX7,-0
HEXt2rpp,0
HG2abcpp,0
HG2t3pp,0
HG2tex,0
HISTD,0.023
HISTP,0.023
HISTRS,0
HISabcpp,0
HISt2rpp,0
HIStex,0
HKNDDH,0
HKNTDH,0
HMBS,0
HMPK1,-0
HOMt2pp,0
HOMtex,0
HOPNTAL,0
HPPK2,0
HPPPNDO,0
HPPPNt2rpp,0
HPPPNtex,0
HPYRI,-0
HPYRRx,0
HPYRRy,0
HSDy,-0.169
HSK,0.131
HSST,0.037
HSTPT,0.023
HXAND,0
HXAtex,0
HXCT,0
HXPRT,0
HYD1pp,0
HYD2pp,0
HYD3pp,0
HYPOE,-0
HYXNtex,0
HYXNtpp,0
Htex,-27.872
I2FE2SR,0
I2FE2SS,0
I2FE2SS2,0
I2FE2ST,0
I4FE4SR,0
I4FE4ST,0
ICDHyr,0.26
ICHORS_copy1,-0
ICHORS_copy2,0
ICHORT,-0
ICL,0
ICYSDS,0
IDOND,-0
IDOND2,0
IDONt2rpp,0
IDONtex,0
IG3PS,0.023
IGPDH,0.023
IGPS,0.014
ILETA,-0.07
ILETRS,0
ILEabcpp,0
ILEt2rpp,0
ILEtex,0
IMPC,-0.131
IMPD,0.059
IMPtex,0
INDOLEt2pp,0
INDOLEt2rpp,0
INDOLEtex,0
INOSTt4pp,0
INSH,0
INSK,0
INSTtex,-0
INSt2pp_copy1,0
INSt2pp_copy2,0
INStex,0
IPDDI,0
IPDPS,0.001
IPMD,0.109
IPPMIa,-0.109
IPPMIb,-0.109
IPPS,0.109
ISETACabcpp,0
ISETACtex,0
K2L4Aabcpp,0.005
K2L4Aabctex,0.005
KARA1,-0.211
KARA2,0.07
KAS14,0
KAS15,0
KDOCT2,0.009
KDOPP,0.009
KDOPS,0.009
KG6PDC,0
Kabcpp,0
Kt2pp,0.047
Kt3pp,0
Ktex,0.047
L_LACD2,0
L_LACD3,0
L_LACt2rpp,0
L_LACtex,0
LA4NTpp,0
LACZ,0
LACZpp,0
LADGMDH,0
LALADGLUtex,0
LALADGLUtpp,0
LALALGLUtex,0
LALALGLUtpp,0
LALDO2x,0
LALDO3,-0
LALGP,0
LCADi,0
LCARR,0
LCARS,-0
LCTSt3ipp,0
LCTStex,-0
LCTStpp,0
LDH_D,0
LDH_D2,0
LEUTAi,0.109
LEUTRS,0
LEUabcpp,0
LEUt2rpp,0
LEUtex,0
LGTHL,0
LIPACabcpp,0
LIPAHT2ex,0
LIPAHTex,0
LIPAMPL,0
LIPATPT,0
LIPAabcpp,0
LIPAabctex,0
LIPOCT,0
LIPOS,0
LIPOt2pp,0
LIPOtex,0
LPADSS,0.005
LPLIPAL1A120pp,0
LPLIPAL1A140pp,0
LPLIPAL1A141pp,0
LPLIPAL1A160pp,0
LPLIPAL1A161pp,0
LPLIPAL1A180pp,0
LPLIPAL1A181pp,0
LPLIPAL1E120pp,0
LPLIPAL1E140pp,0
LPLIPAL1E141pp,0
LPLIPAL1E160pp,0
LPLIPAL1E161pp,0
LPLIPAL1E180pp,0
LPLIPAL1E181pp,0
LPLIPAL1G120pp,0
LPLIPAL1G140pp,0
LPLIPAL1G141pp,0
LPLIPAL1G160pp,0
LPLIPAL1G161pp,0
LPLIPAL1G180pp,0
LPLIPAL1G181pp,0
LPLIPAL2A120,0
LPLIPAL2A140,0
LPLIPAL2A141,0
LPLIPAL2A160,0
LPLIPAL2A161,0
LPLIPAL2A180,0
LPLIPAL2A181,0
LPLIPAL2ATE120,0
LPLIPAL2ATE140,0
LPLIPAL2ATE141,0
LPLIPAL2ATE160,0
LPLIPAL2ATE161,0
LPLIPAL2ATE180,0
LPLIPAL2ATE181,0
LPLIPAL2ATG120,0
LPLIPAL2ATG140,0
LPLIPAL2ATG141,0
LPLIPAL2ATG160,0
LPLIPAL2ATG161,0
LPLIPAL2ATG180,0
LPLIPAL2ATG181,0
LPLIPAL2E120,0
LPLIPAL2E140,0
LPLIPAL2E141,0
LPLIPAL2E160,0
LPLIPAL2E161,0
LPLIPAL2E180,0
LPLIPAL2E181,0
LPLIPAL2G120,0
LPLIPAL2G140,0
LPLIPAL2G141,0
LPLIPAL2G160,0
LPLIPAL2G161,0
LPLIPAL2G180,0
LPLIPAL2G181,0
LSERDHr,-0
LYSDC,0
LYSTRS,0
LYSabcpp,0
LYSt2pp,0
LYSt3pp,0
LYStex,0
LYXI,0
LYXt2pp,0
LYXtex,0
M1PD,-0
MACPD,0
MALCOAMT,0
MALDDH,0
MALDt2_2pp,0
MALDtex,0
MALS,0
MALTATr,0
MALTHXabcpp,0
MALTHXtexi,0
MALTPTabcpp,-0
MALTPTtexi,0
MALTTRabcpp,-0
MALTTRtexi,0
MALTTTRabcpp,-0
MALTTTRtexi,0
MALTabcpp,-0
MALTptspp,0
MALTtexi,0
MALt2_2pp,0
MALt2_3pp,0
MALt3pp,0
MALtex,0
MAN1PT2,0
MAN6PI,0
MAN6Pt6_2pp,0
MAN6Ptex,0
MANAO,-0
MANGLYCptspp,0
MANGLYCtex,0
MANPGH,0
MANptspp,0
MANtex,0
MCITD,0
MCITL2,0
MCITS,0
MCOATA,0.019
MCPST,-0
MCTP1App,0.003
MCTP1Bpp,0
MCTP2App,0
MDDCP1pp,0
MDDCP2pp,0
MDDCP3pp,0
MDDCP4pp,0
MDDCP5pp,-0
MDDEP1pp,0
MDDEP2pp,0
MDDEP3pp,0
MDDEP4pp,0
MDH,0.172
MDH2,0
MDH3,0
ME1,0
ME2,0
MECDPDH5,0.001
MECDPS,0.001
MELIBt2pp,-0
MELIBt3ipp,0
MELIBtex,-0
MEOHtex,-0
MEOHtrpp,-0
MEPCT,0.001
METAT,0
METDabcpp,0
METDtex,0
METOX1s,-0
METOX2s,-0
METS,0.037
METSOX1abcpp,0
METSOX1tex,0
METSOX2abcpp,0
METSOX2tex,0
METSOXR1,0
METSOXR2,0
METTRS,0
METabcpp,0
METtex,0
MG2t3_2pp,0.002
MG2tex,0.002
MG2tpp,0
MG2uabcpp,0
MGSA,0
MI1PP,-0
MICITDr,0
MINCYCtex,0
MINCYCtpp,0
MINOHPtexi,0
MLDCP1App,0
MLDCP1Bpp,0
MLDCP2App,-0
MLDCP2Bpp,0
MLDCP3App,0
MLDEP1pp,0
MLDEP2pp,0
MLTG1,-0
MLTG2,0
MLTG3,0
MLTG4,0
MLTG5,-0
MLTGY1pp,0
MLTGY2pp,0
MLTGY3pp,0
MLTGY4pp,0
MLTP1,-0
MLTP2,-0
MLTP3,0
MMCD,0
MMETt2pp,0
MMETtex,0
MMM,0
MN2t3pp,0
MN2tpp,0
MN6PP,0
MNLptspp,-0
MNLtex,-0
MNNH,0
MNt2pp,0
MNtex,0
MOADSUx,0
MOAT,0.005
MOAT2,0.005
MOAT3C,0
MOBDabcpp,0
MOBDtex,0
MOCDS,0
MOCOS,0
MOGDS,0
MOHMT,0
MOX,-0.001
MPTAT,0
MPTG,0.003
MPTG2,0
MPTS,0
MPTSS,0
MSAR,0
MSO3abcpp,0
MSO3tex,0
MTAN,0
MTHFC,0.212
MTHFD,0.212
MTHFR2,0.037
MTHTHFSs,0
MTRPOX,-0
N2Otex,-0
N2Otpp,-0
NACODA,0
NACtex,0
NACtpp,0
NADDP,0
NADH10,0
NADH16pp,0
NADH17pp,0
NADH18pp,0
NADH5,0
NADH9,0
NADK,0
NADN,0
NADPHQR2,0
NADPHQR3,0
NADPHQR4,0
NADPPPS,0
NADS1,0.001
NADTRHD,0
NAMNPP,0
NAt3_1p5pp,0
NAt3_2pp,0
NAt3pp,0
NAtex,0
NDPK1,0.191
NDPK2,0.103
NDPK3,0.044
NDPK4,0.006
NDPK5,0
NDPK6,0
NDPK7,0
NDPK8,0
NH4tex,2.608
NH4tpp,2.608
NHFRBO,0
NI2abcpp,0
NI2t3pp,0
NI2tex,0
NI2tpp,0
NI2uabcpp,0
NMNAT,0
NMNDA,0
NMNN,0
NMNPtpp,0
NMNt7pp,-0
NMNtex,0
NNAM,-0
NNATr,0.001
NNDMBRT,-0
NNDPR,0.001
NO2t2rpp,0
NO2tex,0
NO3R1bpp,-0
NO3R1pp,0
NO3R2bpp,0
NO3R2pp,0
NO3t7pp,0
NO3tex,0
NODOx,0
NODOy,0
NOVBCNtex,0
NOVBCNtpp,0
NOtex,0
NOtpp,0
NTD1,0
NTD10,0
NTD10pp,0
NTD11,0
NTD11pp,0
NTD12,0
NTD12pp,-0
NTD1pp,-0
NTD2,-0
NTD2pp,0
NTD3,0
NTD3pp,-0
NTD4,0
NTD4pp,0
NTD5,0
NTD5pp,0
NTD6,0
NTD6pp,-0
NTD7,0
NTD7pp,0
NTD8,-0
NTD8pp,-0
NTD9,0
NTD9pp,0
NTP1,0
NTP10,-0
NTP11,0
NTP12,0
NTP3,0
NTP3pp,0
NTP5,0
NTPP1,0
NTPP10,0
NTPP11,0
NTPP2,0
NTPP3,0
NTPP4,0
NTPP5,0
NTPP6,0
NTPP7,0
NTPP8,0
NTPP9,0
NTPTP1,0
NTPTP2,0
NTRIR2x,0
NTRIR3pp,0
NTRIR4pp,0
O16A4COLIPAabctex,-0
O16A4Lpp,0
O16AP1pp,0
O16AP2pp,0
O16AP3pp,0
O16AT,-0
O16AUNDtpp,-0
O16GALFT,0
O16GLCT1,0
O16GLCT2,-0
O2Stex,0
O2tex,0
O2tpp,0
OAADC,0
OBTFL,0
OCBT,0.071
OCDCAtexi,0
OCDCEAtexi,0
OCTAtex,0
OCTDPS,0
OCTNLL,0
OGMEACPD,0
OGMEACPR,0
OGMEACPS,0
OHPBAT,0
OHPHM,0
OMBZLM,0
OMCDC,0.109
OMMBLHX,0
OMMBLHX3,0
OMPDC,0.08
OMPHHX,0
OMPHHX3,0
OP4ENH,0
OPHBDC,0
OPHHX,0
OPHHX3,0
OPMEACPD,0
OPMEACPR,0
OPMEACPS,0
ORNDC,0
ORNabcpp,0
ORNtex,0
OROTt2_2pp,0
OROTtex,0
ORPT,-0.08
OXAMTC,0
OXCDC,-0
OXCOAHDH,0
OXDHCOAT,0
P5CD,0
P5CR,0.053
PA120abcpp,0
PA140abcpp,0
PA141abcpp,0
PA160abcpp,0
PA161abcpp,0
PA180abcpp,0
PA181abcpp,0
PACALDt2rpp,0
PACALDtex,0
PACCOAE,0
PACCOAL,0
PANTS,0
PAPA120,0
PAPA120pp,0
PAPA140,0
PAPA140pp,0
PAPA141,0
PAPA141pp,0
PAPA160,0
PAPA160pp,0
PAPA161,0
PAPA161pp,0
PAPA180,0
PAPA180pp,0
PAPA181,0
PAPA181pp,0
PAPPT3,0.007
PAPSR,0.06
PAPSR2,-0
PDE1,0
PDE4,0
PDH,0
PDX5PO2,0
PDX5POi,0
PDX5PS,0
PDXPP,-0
PE120abcpp,0
PE140abcpp,0
PE141abcpp,0
PE160abcpp,0.011
PE161abcpp,0.005
PE180abcpp,0
PE181abcpp,0
PEAMNOpp,-0
PEAMNtex,-0
PERD,0
PETNT161pp,0
PETNT181pp,0
PFK,9.79
PFK_2,0
PFK_3,0
PFL,17.31
PG120abcpp,0
PG140abcpp,0
PG141abcpp,0
PG160abcpp,0
PG161abcpp,0
PG180abcpp,0
PG181abcpp,0
PGAMT,-0.023
PGCD,0.402
PGI,10
PGK,-19.419
PGL,-0
PGLYCP,-0
PGM,-19.017
PGMT,0
PGP120abcpp,0
PGP140abcpp,0
PGP141abcpp,0
PGP160abcpp,0
PGP161abcpp,0
PGP180abcpp,0
PGP181abcpp,0
PGPP120,0
PGPP120pp,0
PGPP140,0
PGPP140pp,0
PGPP141,0
PGPP141pp,0
PGPP160,0
PGPP160pp,0
PGPP161,0
PGPP161pp,0
PGPP180,0
PGPP180pp,0
PGPP181,0
PGPP181pp,0
PGSA120,0
PGSA140,0
PGSA141,0
PGSA160,0
PGSA161,0
PGSA180,0
PGSA181,0
PHEMEabcpp,0
PHEMEtiex,0
PHETA1,-0.045
PHETRS,0
PHEt2rpp,0
PHEtex,0
PHYTSpp,-0
PIt2rpp,0.233
PItex,0.233
PIuabcpp,0
PLIPA1A120pp,0
PLIPA1A140pp,0
PLIPA1A141pp,0
PLIPA1A160pp,0
PLIPA1A161pp,0
PLIPA1A180pp,0
PLIPA1A181pp,0
PLIPA1E120pp,0
PLIPA1E140pp,0
PLIPA1E141pp,0
PLIPA1E160pp,0
PLIPA1E161pp,0
PLIPA1E180pp,0
PLIPA1E181pp,0
PLIPA1G120pp,0
PLIPA1G140pp,0
PLIPA1G141pp,0
PLIPA1G160pp,0
PLIPA1G161pp,0
PLIPA1G180pp,0
PLIPA1G181pp,0
PLIPA2A120pp,0
PLIPA2A140pp,0
PLIPA2A141pp,0
PLIPA2A160pp,0
PLIPA2A161pp,0
PLIPA2A180pp,0
PLIPA2A181pp,0
PLIPA2E120pp,0
PLIPA2E140pp,0
PLIPA2E141pp,0
PLIPA2E160pp,0
PLIPA2E161pp,0
PLIPA2E180pp,0
PLIPA2E181pp,0
PLIPA2G120pp,0
PLIPA2G140pp,0
PLIPA2G141pp,0
PLIPA2G160pp,0
PLIPA2G161pp,0
PLIPA2G180pp,0
PLIPA2G181pp,0
PMANM,0
PMDPHT,0
PMEACPE,0
PMPK,0
PNTK,0
PNTOt4pp,0
PNTOtex,0
POAACR,0
POR5,0.026
POX,0
PPA,0
PPA2,0
PPAKr,-0
PPALtex,0
PPALtpp,-0
PPAt4pp,0
PPAtex,0
PPBNGS,0
PPC,0.795
PPCDC,0
PPCK,0
PPCSCT,0.127
PPGPPDP,0
PPK2r,0
PPKr,-0.846
PPM,-0
PPM2,0
PPNCL2,0
PPND,0.033
PPNDH,0.045
PPPGO,0
PPPGO3,0
PPPNDO,0
PPPNt2rpp,0
PPPNtex,0
PPS,0
PPTHpp,0
PPTtex,0
PRAGSr,0.108
PRAIS,0.108
PRAIi,0.014
PRAMPC,0.023
PRASCSi,0.108
PRATPP,0.023
PRFGS,0.108
PRMICI,0.023
PROD2,0
PROGLYabcpp,0
PROGLYtex,0
PROTRS,0
PROabcpp,0
PROt2rpp,0
PROt4pp,0
PROtex,0
PRPPS,0.225
PSCLYSt2pp,0
PSCLYStex,0
PSCVT,0.092
PSD120,0
PSD140,0
PSD141,0
PSD160,0.015
PSD161,0.018
PSD180,0
PSD181,0
PSERT,0.402
PSERtex,0
PSP_L,0.402
PSP_Lpp,0
PSSA120,0
PSSA140,0
PSSA141,0
PSSA160,0.015
PSSA161,0.018
PSSA180,0
PSSA181,0
PTA2,0
PTAr,8.067
PTHRpp,0
PTPATi,0
PTRCORNt7pp,-0
PTRCTA,-0
PTRCabcpp,0
PTRCt2pp,0
PTRCtex,-0
PUNP1,-0
PUNP2,0
PUNP3,0
PUNP4,-0
PUNP5,-0
PUNP6,0
PUNP7,0
PYAM5PO,0
PYDAMK,0
PYDAMtex,0
PYDAMtpp,0
PYDXK,0
PYDXNK,0
PYDXNtex,0
PYDXNtpp,0
PYDXPP,-0
PYDXtex,0
PYDXtpp,0
PYK,8.022
PYNP2r,-0
PYROX,0
PYRt2rpp,0
PYRtex,0
QMO2,0
QMO3,0
QUIN2tex,0
QUIN2tpp,0
QUINDH,0
QULNS,0.001
R15BPK,0
R1PK,0
R5PP,0
R5PPpp,-0
R5Ptex,-0
RBFK,0
RBFSa,0
RBFSb,0
RBK,0
RBK_L1,0
RBP4E,0
REPHACCOAI,0
RFAMPtex,0
RFAMPtpp,0
RHAT1,0
RHCCE,0
RIBabcpp,0
RIBtex,0
RMI,0
RMK,0
RMNtex,0
RMNtpp,0
RMPA,0
RNDR1,0
RNDR1b,0
RNDR2,0
RNDR2b,0
RNDR3,0
RNDR3b,0
RNDR4,0
RNDR4b,0
RNTR1c2,0.006
RNTR2c2,0.007
RNTR3c2,0.007
RNTR4c2,0.006
RPE,-0.187
RPI,-0.178
RZ5PP,0
S2FE2SR,0
S2FE2SS,0
S2FE2SS2,0
S2FE2ST,0
S4FE4SR,0
S4FE4ST,0
S7PI,0
SADH,0
SADT2,0.06
SARCOX,-0
SBTPD,-0
SBTptspp,-0
SBTtex,-0
SCYSDS,0
SDPDS,0.09
SDPTA,-0.09
SELCYSS,0
SELGTHR,0
SELGTHR2,0
SELGTHR3,0
SELNPS,0
SELR,0
SELtex,0
SELtpp,0
SEPHCHCS,0
SERASr,-0
SERAT,0.06
SERD_D,0
SERD_L,0
SERTRS,0
SERTRS2,0
SERt2rpp,-0.001
SERt4pp,0.001
SERtex,0
SFGTHi,0
SGDS,0
SGSAD,0
SHCHCS3,0
SHCHD2,0
SHCHF,0
SHK3Dr,0.092
SHKK,0.092
SHSL1,0.037
SKMt2pp,0
SKMtex,0
SLNTtex,0
SLNTtpp,0
SO2tex,0
SO2tpp,0
SO3tex,-0
SO4t2pp,0.061
SO4tex,0.061
SOTA,0
SPMDAT1,0
SPMDAT2,0
SPMDabcpp,0
SPMDt3pp,0
SPMDtex,0
SPMS,0
SPODM,0
SPODMpp,0
SSALx,0
SSALy,0
SUCASPtpp,0
SUCBZL,0
SUCBZS,0
SUCCt2_2pp,0
SUCCt2_3pp,0
SUCCt3pp,0.08
SUCCtex,-0.08
SUCDi,-0
SUCFUMtpp,0
SUCMALtpp,0
SUCOAS,0
SUCRtex,0
SUCTARTtpp,0
SUCptspp,0
SULFACabcpp,0
SULFACtex,0
SULRi,0.06
SULabcpp,0
T2DECAI,0
TAGURr,0
TALA,-0.048
TARTD,0
TARTRDtex,0
TARTRt7pp,0
TARTRtex,0
TARTt2_3pp,0
TAUDO,0
TAURabcpp,0
TAURtex,0
TCYNTtex,-0
TDP,0
TDPADGAT,0
TDPAGTA,0
TDPDRE,0
TDPDRR,0
TDPGDH,0
TDSK,0.005
TDSR1,0
TDSR2,0
TGBPA,0
THD2pp,2.955
THDPS,0.09
THFAT,0
THIORDXi,0
THMDt2pp_copy1,0
THMDt2pp_copy2,0
THMDtex,0
THMabcpp,0
THMtex,0
THRA2i,-0
THRAi,0
THRD,0
THRD_L,0.07
THRPtex,0
THRS,0.131
THRTRS,0
THRabcpp,0
THRt2pp,0
THRt2rpp,0
THRt4pp,0
THRtex,0
THYMt3pp,-0
THYMtex,0
THZPSN3,0
TKT1,-0.048
TKT2,-0.14
TMAOR1,0
TMAOR1pp,0
TMAOR2,0
TMAOR2pp,0
TMAOtex,0
TMAtex,-0
TMDK1,0
TMDPP,-0
TMDS,0.006
TMK,0
TMPK,0
TMPPP,0
TPI,9.756
TPRDCOAS,0
TRDR,0.06
TRE6PH,0
TRE6PP,0
TRE6PS,0
TREH,0
TREHpp,0
TREptspp,0
TREtex,0
TRPAS2,-0.014
TRPS1,0
TRPS2,0
TRPS3,0.014
TRPTRS,-0
TRPt2rpp,0
TRPtex,0
TRSARr,0
TSULabcpp,0
TSULtex,0
TTDCAtexi,0
TTDCEAtexi,0
TTRCYCtex,0
TTRCYCtpp,0
TUNGSabcpp,0
TUNGStex,0
TYMtex,0
TYRL,0
TYROXDApp,0
TYRPpp,0
TYRPtex,0
TYRTA,-0.033
TYRTRS,-0
TYRt2rpp,0
TYRtex,0
ThDPAT,0
U23GAAT,0.009
UAAGDS,0.007
UACGALPpp,0
UACGAMPpp,0
UACGAMtex,0
UACMAMO,0
UAG2E,0
UAGAAT,0.009
UAGCVT,0.007
UAGDP,0.023
UAGPT3,0.007
UAMAGS,0.007
UAMAS,0.007
UAPGR,0.007
UDCPDP,0.007
UDCPDPS,0
UDCPDPpp,0
UDCPPtppi,0
UDPACGALtex,0
UDPG4E,-0
UDPGALM,0
UDPGALPpp,0
UDPGALtex,0
UDPGD,0
UDPGDC,0
UDPGLCURtex,0
UDPGPpp,0
UDPGtex,0
UDPKAAT,0
UGLCURPpp,0
UGLT,0
UGLYCH,0
UGMDDS,0.007
UHGADA,0.009
ULA4NFT,0
ULA4Ntppi,0
UM3PL,0
UM4PCP,0
UM4PL,0
UMPK,0.091
UMPtex,0
UPLA4FNF,0
UPLA4FNT,0
UPP3MT,0
UPP3S,0
UPPDC1,0
UPPRT,0
URACPAH,0
URAt2pp_copy1,0
URAt2pp_copy2,0
URAtex,0
URDGLYCD,0
UREAtex,0
UREAtpp,0
URIC,0
URIH,0
URIK2,0
URIt2pp_copy1,0
URIt2pp_copy2,0
URItex,0
USHD,0.005
VALTA,0
VALTRS,-0
VALabcpp,-0
VALt2rpp,0
VALtex,0
VPAMTr,0.102
WCOS,0
X5PL3E,0
XAND,0
XANt2pp,0
XANtex,0
XANtpp,0
XMPtex,0
XPPT,0
XTSNH,0
XTSNt2rpp,0
XTSNtex,0
XYLI1,0
XYLI2,-0
XYLK,0
XYLK2,0
XYLUt2pp,0
XYLUtex,0
XYLabcpp,0
XYLt2pp,0
XYLtex,0
ZN2abcpp,0
ZN2t3pp,0
ZN2tpp,0
ZNabcpp,0
Zn2tex,0
