,Strain,Hour,Replicate,OD600,pyr_c,oaa_c,lac__D_c,succ_c,mal__L_c,akg_c,acon__C_c,cit_c,mev_R_c,ip_c,dxyl5p_c,2me4p_c,5dpmev_c,ex_con.id,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,pro__L_c,val__L_c,Betaine,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_p,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c
0,WT,0.0,1,0.7140000000000001,12.24240079,0.17586807899999998,10.84712526,3.3823824719999998,1.256920681,0.09699787900000001,0.0,0.234362173,0.0,0.0,0.049294064000000005,0.0,0.0,0.00250577,0,0.0,0.022746593,8.819183147999999,3.407569193,6.860138095,2.471777741,1.585751898,1.6098436230000002,0.044088039,7.432403588,7.830419406,8.354223559,2.845883819,3.249181971,32.05671957,9.400371936,2.499142037,3.4832828080000002,9.084695637000001,20.91903527,2.078610608,1.8986478830000002
1,WT,0.0,2,0.708,19.63925628,0.29906350600000003,18.74476825,6.009116421,1.83430476,0.180045812,0.0,0.495638764,0.0,0.0,0.084176305,0.0,0.0,0.005734473,0,0.0,0.042219405999999994,11.61122871,4.1486470419999995,8.531186645,2.790606152,2.060548855,2.120695544,0.06880837,8.79632526,9.894229166,10.48457022,7.396885972000001,3.19693927,33.74627289,10.69193994,3.258966828,3.9090776710000004,11.44133019,21.57684756,2.841407732,2.3965095819999997
2,WT,0.0,3,0.71,12.12525512,0.319584947,11.32296741,4.436076068,1.5034478009999999,0.181691629,0.0,0.46822590799999997,0.0,0.0,0.076919005,0.0,0.0,0.004394717,0,0.0,0.042485485999999996,8.236483595,3.31738934,6.283968053,2.23786185,1.670353896,1.439967143,0.048274698,6.548267397999999,7.292914828,6.705951263999999,5.018182438,2.596924167,34.15223899,9.396631722999999,2.519143691,3.4543213639999997,8.043481839,19.59746542,1.8963996490000001,1.657994244
3,I1,0.0,1,0.501,8.884179496,0.255788167,9.970514961000001,2.038937422,1.045831945,0.09768473400000001,0.0,0.155485428,0.0,0.09234199900000001,0.015492258,0.0,0.0,0.41965538399999996,0,0.0,0.009216614,12.79421891,4.335353977,8.959002712,3.003761087,2.585598265,2.797889811,0.052734043,9.999377546,10.75133415,12.69406967,14.57747192,3.9387555869999997,36.41764123,11.57448243,3.595405907,4.0478584060000005,12.17138099,22.39110704,2.58016431,2.492775958
4,I1,0.0,2,0.47100000000000003,15.92590236,0.254929529,17.84571681,3.7403008939999998,1.6099941580000001,0.23448286,0.0,0.355984249,0.0,0.161644531,0.036200247000000005,0.0,0.009257857,0.854812665,0,0.0,0.013670716000000001,12.55665027,4.291882351,8.922588227,3.0244705919999997,2.56251386,2.68887373,0.047560075,10.32911369,10.47707741,13.66542412,14.43508685,3.900333204,35.77990067,11.72747205,3.635643876,3.959911726,12.18674374,21.52903966,2.5843788919999997,2.4806269380000003
5,I1,0.0,3,0.502,12.25891765,0.308794733,15.10970065,3.3356488630000003,1.483206845,0.212018553,0.0,0.38447102,0.0,0.183409748,0.038443751,0.0,0.009188205,0.836711185,0,0.0,0.01999068,9.08088131,3.3710360410000004,6.784542997999999,2.4181530330000003,2.200824098,1.9563231909999999,0.043239423,7.461991241000001,7.811303693999999,8.821349665,7.833351241,3.6194758360000003,34.35187604,10.37815032,2.728219984,3.46716559,9.03395573,19.96217524,1.9692834190000001,1.880825585
6,I2,0.0,1,0.519,15.11795771,0.290295861,17.62138927,4.161145778,1.711616786,0.181208856,0.0,0.376086309,0.0,0.070144266,0.06153882,0.034512516,0.0,0.058753503,0,0.0,0.030550342,11.8976916,4.037003633,8.406654899,2.9476579889999996,2.3383595980000003,2.461263163,0.045343330999999994,9.656411311,9.934450127,10.90700296,11.143435499999999,3.697995638,34.75273477,10.79011344,3.386348115,3.8071084930000003,11.34893629,21.77983516,2.373883334,2.4542467
7,I2,0.0,2,0.5720000000000001,16.61700888,0.38281884200000005,24.91193642,4.726266155,1.821713214,0.160401339,0.0,0.40929130399999997,0.0,0.062098189000000005,0.054748917,0.037371747000000004,0.005037507,0.066410838,0,0.0,0.035227093,11.25909355,4.0561042480000005,8.158431507000001,2.796388719,2.375777749,2.3707383419999997,0.057444916,8.704590922000001,9.490351577,10.18013371,9.134029831,3.375684628,35.732636600000006,10.52661762,3.212245507,3.702152073,11.05220752,21.38710478,2.596738807,2.355603167
8,I2,0.0,3,0.588,12.67112823,0.207647214,21.04464818,4.077328476,1.525438606,0.14477704800000002,0.0,0.317634967,0.0,0.058492635,0.047831965,0.029199752000000002,0.0,0.04844363,0,0.0,0.029519554,10.95129606,3.8809763360000002,7.808138812999999,2.9695086739999996,2.412824426,2.330665058,0.050599575,8.478966285,9.195663807,9.750013486,8.409284138,3.694700669,35.71835839,10.35247419,3.131477947,3.6871523280000003,10.61757716,20.64281713,2.506094939,2.213810945
9,I3,0.0,1,0.44299999999999995,13.34310121,0.229695121,17.66453584,3.5011576360000003,1.6105224390000001,0.181744295,0.0,0.32467261399999997,0.0,0.072362837,0.045100407,0.029257235,0.003616892,0.068596098,0,0.0,0.019707007,13.26637494,4.243495888,8.896175353,3.1787024039999996,2.611944839,2.78315684,0.036798409,10.58515943,10.6551452,13.14518078,12.43957802,4.679609838999999,36.16801589,10.80934865,3.692073915,3.8751083060000004,12.05337117,22.0862694,2.419362204,2.224774203
10,I3,0.0,2,0.41200000000000003,11.98396438,0.449897526,15.89713894,3.27479821,1.526588488,0.147987489,0.0,0.408376141,0.0,0.074618985,0.043924943,0.026047025,0.0,0.065512577,0,0.0,0.019466765,11.825175999999999,3.885537647,8.039942181,2.973184327,2.572645828,2.395397306,0.0335732,9.793138298999999,9.495915816,11.52001221,9.839437739,4.351275107,35.47270084,10.22087766,3.355756061,3.56862577,10.86736475,20.92028923,2.165770012,1.967781952
11,I3,0.0,3,0.408,13.31963679,0.213982052,16.96768105,3.510994164,1.6594164759999999,0.18362711,0.0,0.318404217,0.0,0.071846899,0.047246815,0.028467948,0.0,0.073942428,0,0.0,0.018820805,11.73623809,4.041081384,8.234278182999999,3.013143675,2.534973401,2.523741029,0.04383886099999999,10.16701847,9.709717704,11.85102798,10.75712444,3.88206524,34.91579665,10.25591614,3.4521947639999997,3.5946020539999997,11.20130781,20.90621898,2.271798485,2.061091334
12,WT,0.5,1,1.0490000000000002,7.022433026,0.705886042,14.43512768,6.012889046000001,1.1649733999999998,0.353299886,0.039576566,0.762935118,0.0,0.0,0.08154958799999999,0.034997806,0.0,0.003540883,0,0.0,0.060799418,10.28341057,3.8818439,7.5446138629999995,2.323704602,2.7248158539999996,2.161462029,0.057908010999999995,8.338433691,7.871083115,6.6527101470000005,2.648317029,1.73369609,34.45048427,11.76646125,2.666989625,3.4252197860000004,9.543266095,20.45143411,1.8045064259999999,1.6666165119999998
13,WT,0.5,2,1.09,10.60934425,0.565975801,14.21448956,7.7672731939999995,1.41290098,0.330578831,0.041605649,0.76354795,0.0,0.0,0.093967358,0.048472062999999996,0.0,0.003203514,0,0.0,0.067752149,14.07153359,4.635380527,9.633198004,2.794426896,3.0049430160000004,2.575866318,0.069483031,10.4644455,10.29010538,9.020611564,3.490466243,2.285519732,35.87229519,11.88793185,3.26441076,3.7825083889999997,12.53070957,23.0398698,2.3089033619999997,2.13097184
14,WT,0.5,3,1.088,6.660216694,0.555891578,10.81182149,6.886093027,1.158196814,0.266260297,0.042223015999999995,0.699439875,0.0,0.0,0.083903097,0.040908615,0.0,0.002967693,0,0.0,0.065018225,12.15654402,4.194845295,8.588787904,2.4765528999999997,3.072223953,2.341099596,0.0,9.380332418,8.908389638,7.47600666,3.0795909710000005,1.562143438,35.97194735,13.51874996,3.164796349,3.6946060569999997,11.05037616,21.7860919,2.035252822,1.8757576390000001
15,I1,0.5,1,0.745,14.44483016,0.0,9.325513197000001,3.173162422,1.3339333820000001,0.084924165,0.0,0.131435561,0.045861560999999995,0.654553554,0.017081922,0.0,0.007578194,1.4196180569999999,0,0.0,0.009330413000000001,14.63176364,4.729721432,10.48100813,3.229157737,3.642154338,3.063938421,0.065073052,10.95709982,11.31258673,13.30520006,8.444152996,2.93876209,36.70444481,13.42817593,3.9109840460000003,3.711381485,13.4485041,22.62277099,2.8445838410000004,2.62941812
16,I1,0.5,2,0.778,21.16049127,0.15152093,13.46381124,4.714267245,1.786458565,0.168099374,0.0,0.24135896399999998,0.06521266099999999,1.157495749,0.016021629,0.0,0.01009102,2.434107216,0,0.0,0.015601998999999998,15.30321478,4.836023333,10.54063505,3.297783472,3.7836444210000004,3.132364773,0.072350928,11.86341955,12.00850812,13.57274769,8.524788204,3.011271665,37.98736657,13.66257748,4.133456442,3.7005333539999996,13.68161338,23.02341187,2.553712671,2.6065841990000003
17,I1,0.5,3,0.7709999999999999,17.60033171,0.0,20.37369754,5.46383455,1.7120498080000002,0.169473083,0.0,0.25315218899999997,0.071721958,1.4514127959999998,0.031545908,0.0,0.013153952,3.0896358010000005,0,0.0,0.012453562,12.60646769,4.385300836,9.210764243,2.965901966,3.647787402,2.638534765,0.0,9.641033952999999,10.09261406,10.70601362,7.784940473,2.679257925,36.31259887,12.96389083,3.497680952,3.519420362,11.85902651,21.56908513,2.5969392680000003,2.30944116
18,I2,0.5,1,0.836,21.09860851,0.27773113,13.59464848,5.19980274,1.7279014519999998,0.195158802,0.0,0.323856672,0.015048889,0.953374079,0.08543027,0.051995665999999996,0.009165086,0.511845267,0,0.0,0.053643829000000004,14.28997817,4.671489039,9.935108524,3.1337075569999997,3.171179248,2.9322057189999997,0.087496715,11.48961918,10.92989276,12.53424309,3.19940489,2.8721114880000003,37.50411597,11.85066414,3.839542542,3.7224210939999995,12.63302205,22.90192422,2.368423075,2.484620584
19,I2,0.5,2,0.8690000000000001,24.57854836,0.34451406100000004,16.8677147,6.120094314,1.958318924,0.218619377,0.0,0.39720975700000005,0.019593201,0.9116744170000001,0.09840116900000001,0.050115859000000006,0.012102644,0.638798792,0,0.0,0.064786779,15.95488969,4.90334787,10.87688383,3.210290175,3.423511862,3.108800908,0.073352341,12.20139988,11.9910406,12.85642893,3.2524102339999996,2.690229724,37.89813713,12.15542332,4.062033925,3.5910060560000003,13.42855661,23.2472775,2.38096935,2.672729852
20,I2,0.5,3,0.917,13.90497693,0.163627722,10.18362333,4.348032118,1.322485906,0.138522943,0.0,0.280610569,0.013793302,0.838117745,0.065852812,0.039533996,0.008843499,0.423466399,0,0.0,0.048031947,11.710795800000001,4.240996818,8.683864789,2.809637328,3.404948207,2.503137582,0.060742998,9.170563175,9.803726449,9.645038466,2.982824041,2.3291330969999997,36.41384397,11.72324223,3.3381886460000003,3.4190434260000004,11.47815131,21.12297341,2.40492473,2.365363767
21,I3,0.5,1,0.665,12.46519688,0.235915474,17.65488467,4.049769652,1.527398669,0.152655026,0.0,0.31450427,0.010290984,1.082609964,0.083432085,0.047000165,0.009990839,0.419732139,0,0.0,0.048763669,8.825611476,3.4300384719999997,6.778338615,2.514142418,3.07965851,1.8861470519999999,0.038084261,7.997081802,7.530768499,8.824900908,3.5634958269999997,2.629404921,35.16168711,10.65287268,2.800857185,3.098633325,8.674158373,19.27142686,1.635539984,1.535695355
22,I3,0.5,2,0.654,16.53970837,0.225392393,21.98000681,4.641615836000001,1.724181208,0.165415595,0.0,0.350676539,0.011625071,0.952559025,0.09584004300000001,0.055649159000000004,0.008744207,0.43443930799999997,0,0.0,0.048213915999999996,12.63539093,4.241750603,8.918994767000001,2.965533577,3.463737825,2.646436456,0.032835069,10.62280325,9.980700294,12.83440572,4.811430395,2.98553098,37.19820131,11.43679543,3.549719625,3.500076959,11.27297799,21.49817066,2.052483875,1.979531666
23,I3,0.5,3,0.701,12.48986629,0.0,13.07484641,4.411651158,1.519397286,0.172411415,0.0,0.368645944,0.009980236,1.0576397690000001,0.090372795,0.056246099,0.009795812,0.41721149399999996,0,0.0,0.052735637,9.501331221000001,3.45903581,6.990521011,2.494947114,3.1949885989999998,1.980525946,0.02874479,8.431419955,7.956882041,9.770254194,3.6948195889999997,2.883745093,35.21051916,10.57156365,2.8836320189999998,3.104859044,9.09320136,19.50635333,1.683111125,1.621117346
24,WT,1.0,1,1.445,0.9626818009999999,0.8899779609999999,13.99180548,10.03553081,0.923860186,0.389931386,0.068726203,1.327848423,0.010179808,0.0,0.155189587,0.085676888,0.0,0.0040513979999999995,0,0.0,0.137095283,12.29044635,4.221189149,8.891235627999999,2.246510747,3.4503288739999998,1.729205369,0.07239794299999999,8.909927429,8.498119676,5.431316536000001,2.099304137,0.837848376,35.40914555,12.56290473,2.8815809289999996,3.2142407239999997,10.39479448,21.28477529,1.685040944,1.60009942
25,WT,1.0,2,1.5419999999999998,0.8782673409999999,1.2895497790000001,12.59602758,10.96262311,0.817341922,0.375145365,0.072639491,1.553082315,0.011382533,0.0,0.170349245,0.08950669900000001,0.0,0.003377653,0,0.0,0.150864955,10.51535549,4.232589378,8.85084518,2.299691434,3.9942760489999998,1.8621575890000002,0.051871323,8.047947138,7.943063547,4.420705717,1.9128532580000002,0.8434678179999999,38.41331302,14.04616654,2.858800348,3.609408619,9.969248218999999,21.18964988,1.921867987,1.672540875
26,WT,1.0,3,1.53,1.1002970840000001,0.933520433,14.54809082,11.2308758,0.909957303,0.356600298,0.078041871,1.313427608,0.012373501,0.0,0.163126548,0.101300129,0.0,0.003360992,0,0.0,0.17910743199999998,13.04158673,4.600844599999999,9.615531095,2.421796786,3.958896883,1.721007439,0.066685656,9.7839614,9.061028517999999,5.581322144,2.116126216,0.767000343,36.36101085,13.71165595,3.099896132,3.501770094,11.37117198,19.35782531,1.7713181980000001,1.690864454
27,I1,1.0,1,0.997,7.04662851,0.146225998,16.19503395,5.283770099999999,1.2456692109999998,0.146545753,0.0,0.23585865,0.10004202300000001,2.4854866380000002,0.034985016,0.0,0.011655386,1.02863702,0,0.0,0.027714713999999998,8.715178053999999,3.334608542,7.044993669,2.1623406640000002,4.1454080189999996,1.805469227,0.0,7.565585398,6.893326155,6.746432682000001,2.915055988,1.575342434,35.10880408,12.52385955,2.6939897160000004,3.025398843,7.981765697,18.16120644,1.4896124419999999,1.525115394
28,I1,1.0,2,1.064,9.717932994,0.0,16.88629873,5.456204651,1.32305229,0.165062293,0.0,0.22871944800000002,0.093954286,1.932366188,0.04079003,0.0,0.010498561000000002,0.890611023,0,0.0,0.029702622,11.55315355,4.2043884910000004,8.69877208,2.463644896,4.481172515,2.3590082519999998,0.053286466,9.618419482,8.908366208,9.596663103,3.00660039,1.681865543,37.18079129,13.07259747,3.232484743,3.380136207,10.23164446,20.78128062,1.690062275,1.8592476830000002
29,I1,1.0,3,1.031,13.22470014,0.18298523100000003,14.51948109,6.6789257,1.5138658409999999,0.189576191,0.0,0.30327952,0.098203619,1.7522579919999999,0.038230969,0.0,0.011624561,0.9713543729999999,0,0.0,0.028571779,14.02083535,4.450573291,9.79676392,2.648225026,4.492517868999999,2.619002717,0.064943761,10.99008239,10.27326966,11.22653913,2.847876883,2.0410948330000003,37.51176873,13.01157381,3.6013581080000003,3.265923238,11.90085123,21.74588363,1.9577137009999999,2.150178515
