,Strain,Hour,Replicate,OD600,pyr_c,oaa_c,lac__D_c,succ_c,mal__L_c,akg_c,acon__C_c,cit_c,mev_R_c,ip_c,dxyl5p_c,2me4p_c,5dpmev_c,ex_con.id,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,pro__L_c,val__L_c,Betaine,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_p,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c
30,I2,1.0,1,1.045,10.34347626,0.225048937,12.84017174,7.349762302999999,1.4700043530000002,0.271871437,0.0,0.46614578100000004,0.051146738,1.180602856,0.130140233,0.086224636,0.016750393,1.0853201000000001,0,0.0,0.10554219199999999,13.29453592,4.611810031,10.00090528,2.73444337,4.499277827,3.127802687,0.0,11.52650818,9.80373978,11.33750171,2.086429182,1.534495494,35.8992254,12.75970112,3.630329446,3.0505680839999996,11.78654971,19.5274641,1.811261405,2.15272731
31,I2,1.0,2,1.0759999999999998,6.118684547000001,0.0,11.75673905,6.954261917999999,1.160083899,0.168981532,0.0,0.0,0.068391142,1.230296738,0.105954916,0.058278458,0.008613201,0.8230361540000001,0,0.0,0.070852757,11.822652099999999,4.313494227,8.947616536,2.710902522,4.623438035,2.8343815610000003,0.072019474,10.04346473,9.14193985,9.08527034,2.320892996,1.254665414,36.90650662,12.86850751,3.388915263,2.8665643939999996,10.76113345,18.82414601,1.77421967,1.8475904580000002
32,I2,1.0,3,1.065,7.277410777,0.38445979399999997,13.37085478,8.354052017999999,1.453077098,0.247570398,0.0,0.5356000870000001,0.081614104,1.4853978140000001,0.161670647,0.08946690300000001,0.020143508,1.46078476,0,0.0,0.149593375,11.98358897,4.218708365,8.684867353,2.521611032,4.468151962,2.557566626,0.05860853,9.979353347,8.563832967,7.708303377999999,2.242519974,1.162388832,35.82538048,12.36015308,3.2357587939999997,3.067264085,10.41714737,20.77684136,1.657865317,1.794250144
33,I3,1.0,1,0.9159999999999999,9.489601031,0.21025174800000002,17.35438192,5.513446204,1.171737069,0.16954111,0.0,0.349162552,0.03740248,2.043673135,0.127580656,0.070746208,0.016836051,0.802681781,0,0.0,0.11492977900000001,8.272190881,3.40731319,6.358966367000001,2.247444067,3.6367951460000003,1.7322112109999999,0.045042437000000005,7.233052659,6.65003509,7.034372423,2.000524642,1.486257925,35.57443671,10.22768952,2.579647186,2.795994808,7.790095552,18.46883673,1.488670215,1.327228334
34,I3,1.0,2,0.909,20.0137443,0.265920091,24.17566359,7.07640378,1.647440396,0.225637141,0.0,0.41213601200000005,0.040123254,1.3497880469999999,0.139393651,0.104563953,0.015274353000000001,0.889716332,0,0.0,0.114331098,13.04587228,4.555008,9.803434915,2.9314427210000003,3.939538336,2.838227735,0.05304434,11.8879921,10.58857953,13.60598897,2.127589255,2.345435888,38.71064745,11.2018834,3.770959322,3.169179555,12.22480156,19.30933851,1.863884528,1.917547445
35,I3,1.0,3,0.925,18.46951377,0.284447585,24.11173052,6.929848551,1.605126616,0.21637009399999999,0.0,0.37290075,0.033733689,1.501937516,0.139860014,0.085584584,0.014377465,0.808488051,0,0.0,0.0834597,11.75320244,4.280333804,8.820090865,2.656874953,3.4318623539999997,2.5134072130000003,0.052717587999999996,10.93623283,9.604107434,11.83980302,2.0387087719999997,2.11969729,36.28456234,10.65827644,3.442825379,2.759439219,11.09918813,18.57482839,1.754416956,1.83954862
36,WT,2.0,1,2.117,3.665346134,1.8046656069999998,78.74310517,20.13275684,0.9546996879999999,0.353016805,0.10674700300000001,2.253459532,0.00924042,0.0,0.21971922800000002,0.0,0.0,0.0,0,0.0,0.064967648,7.74254409,4.574858336,9.953180214,1.473386774,8.415456528,0.141990483,0.048227683,6.526958184,4.978904958,1.156879362,1.933337736,0.6880217190000001,32.40991078,8.912003687,1.569106013,2.7364312639999997,8.699540263,18.33002147,1.091417466,1.187386394
37,WT,2.0,2,2.186,4.324749968,1.9551752530000002,117.5591033,23.06005415,1.180401385,0.521186401,0.14901940800000002,2.1641214509999998,0.013219843,0.0,0.237812379,0.0,0.0,0.005926461,0,0.0,0.067717514,10.76307055,5.078557052,11.64079423,1.865098996,9.349110364,0.128107719,0.045665382000000004,9.026054082,6.87695055,0.5876206079999999,1.3805064319999998,0.544038291,32.53297455,8.533943739,1.879613145,3.021413177,11.85789543,19.92567565,1.246610959,1.413919683
38,WT,2.0,3,2.1790000000000003,4.638252658,1.8830210669999998,126.74411129999999,24.95723629,1.162518639,0.486701046,0.156076333,2.400640792,0.012520763999999998,0.0,0.262405183,0.0,0.0,0.006154745,0,0.0,0.07575051,12.69857318,5.143333757,12.22258088,1.742438489,9.966383472,0.13828749099999998,0.071394179,9.144964479,7.118086452000001,1.110121329,1.700215632,0.527402068,33.88213422,9.143652105,1.953565323,3.1861326560000003,12.28838379,23.07108113,1.288922915,1.457048511
39,I1,2.0,1,1.465,1.171663427,0.255511495,12.60197536,8.727849709,1.503594725,0.24795442199999998,0.02931756,0.413466733,0.36575897799999996,0.46667547600000003,0.105547429,0.03965062,0.01530251,0.610365621,0,0.0,0.10614857,11.90470433,4.202368918,10.06095875,2.329751112,8.610766045,1.576728014,0.067407332,9.839501216,8.173733879,7.60992844,1.5241045,0.387341679,36.26713569,10.09834981,3.0890613339999997,3.123188608,10.33403941,18.56940393,1.5087506309999998,1.622934822
40,I1,2.0,2,1.53,0.9551090529999999,0.595226725,20.18144274,8.260402036,1.466079385,0.237059112,0.034260618,0.424922608,0.33172415899999996,0.452509916,0.103388109,0.045951097999999996,0.015840168,0.5375178070000001,0,0.0,0.079511922,10.75034094,4.1073778480000005,9.322300954,1.99102252,8.225423884,1.322172503,0.041643274,9.033641937,6.8512089739999995,6.417763761000001,1.521510787,0.323442883,34.87272079,10.08862241,2.762849953,2.572940173,9.263190681000001,17.89694464,1.3707360830000002,1.317503011
41,I1,2.0,3,1.504,0.970027669,0.251437736,10.91927566,7.286518409,1.3559458219999998,0.17954548399999998,0.022617885,0.35190687299999995,0.304191234,0.417892845,0.076169622,0.03866788,0.013932578000000001,0.47191161600000003,0,0.0,0.072881347,8.636547492,3.677436235,8.104364631000001,1.9109396969999999,7.627748597,1.192883776,0.042113421,7.4060395670000005,6.2361451820000005,5.292818058,1.297105897,0.29539346899999996,25.27464133,8.985812978,2.341674531,1.510346421,7.310853816,16.28356991,1.077846817,1.018586369
42,I2,2.0,1,1.6569999999999998,1.216590696,0.482859673,20.59943935,9.959306857,1.305443049,0.265266224,0.069249731,0.844145294,0.552521288,1.025223608,0.18663271899999997,0.08820006400000001,0.06475668700000001,3.701500243,0,1.712411382,0.134237666,11.49702637,4.279598305,11.19356922,2.327996637,9.386176964,1.0774659629999999,0.051923039000000004,9.059916034,7.5755999339999995,7.205348258,1.3660401469999999,0.307795151,31.84945471,9.902048926,2.782954332,1.8756969430000001,9.548721116,17.57520321,1.358859236,1.582793818
43,I2,2.0,2,1.645,1.2027812709999999,0.40352155100000003,16.54546398,9.479100362,1.181153765,0.215935598,0.05986409400000001,0.64130487,0.478711654,0.46366853,0.143806287,0.06584466900000001,0.043646639,2.326902546,0,0.897898874,0.09344322099999999,12.25574693,4.18855089,10.56551942,2.23461324,8.547423096000001,0.713741315,0.044544081,9.113853572,7.310139572000001,5.822834200000001,1.311517578,0.256191202,28.70240535,8.289202208999999,2.566239885,1.664422674,9.540317034,19.74070549,1.352312074,1.454395962
44,I2,2.0,3,1.6909999999999998,1.118089513,0.427410759,16.84413879,10.265811,1.183099943,0.238884872,0.056670245,0.8569949240000001,0.511030599,0.902451415,0.17386943800000002,0.081060554,0.054709534000000004,2.795804421,0,1.2336518890000001,0.118052928,10.62307868,4.099886734,10.27263799,1.9735359000000001,8.465009535,0.83535053,0.032017013,8.493308157000001,6.969040049,5.071237009,1.297316515,0.265105613,29.23405129,9.154545555,2.5585214,1.621432489,8.836705773,17.04106088,1.2484200109999999,1.404296039
45,I3,2.0,1,1.49,0.5388347960000001,0.470342644,15.45696673,6.751394345,1.037765012,0.182687897,0.031787032,0.492147372,0.318395472,1.977899875,0.106934125,0.07667359900000001,0.049445878,2.5862539030000002,0,0.0,0.10690283099999999,10.25191261,3.921859495,9.539479901,2.184863814,6.7181825779999995,1.818757537,0.03763292,8.434635022,7.175709094,8.042760273999999,1.6831868369999998,0.37654812299999996,32.78305739,9.594611915,2.70329143,1.869544884,9.081756342,17.00623283,1.558312895,1.3591075430000001
46,I3,2.0,2,1.46,1.037496719,0.39521184600000003,17.34082333,8.123919966,1.156883217,0.22739926300000002,0.049772189,0.599498048,0.34257580600000004,1.423461209,0.122462535,0.081963149,0.050599442,2.625313292,0,0.0,0.13955433,12.43700206,4.415927648,10.34318697,2.327302564,6.580848193,1.9413324930000002,0.063441642,10.48332522,8.894037099,10.16316207,1.423487954,0.446444776,32.21966499,9.072567949,3.10718619,1.647593065,10.54119312,18.368489800000003,1.448609306,1.396565761
47,I3,2.0,3,1.454,0.959626485,0.466679123,11.51220079,9.047489742,1.212740481,0.199214096,0.051622645999999994,0.698706811,0.39190966,1.965794685,0.160391891,0.10515094300000001,0.069173546,3.2636654330000003,0,0.0,0.13913102,10.3237676,3.8894345710000002,9.424883677999999,2.406449495,6.946334741,1.7905328390000002,0.032945554,9.264231069,7.425586435,8.265229133,1.5181370109999999,0.38897398200000005,31.72704809,8.936982461,2.7031565730000002,1.728986102,9.284116606,17.0292228,1.4362665559999999,1.297373221
48,WT,3.0,1,2.661,6.769754325,2.047936745,97.73319987,21.30028136,0.777318863,0.42618105799999995,0.165145877,2.588180257,0.012733483,0.0,0.196744494,0.0,0.0,0.0,0,0.0,0.029717465,5.275395875,3.2645817580000003,16.54096228,1.10897749,12.89382207,0.147993279,0.039779141000000004,5.777472949,3.510660316,1.1808158420000001,1.558622329,0.967565035,23.14556208,7.503485037999999,0.48270129700000003,1.501686714,8.124245521,18.55745518,0.5800779629999999,0.73404294
49,WT,3.0,2,2.7,6.790193686,2.022215776,101.4720714,22.51581114,0.8511935270000001,0.4264005,0.181294572,2.712867661,0.011971556999999999,0.0,0.19981433399999998,0.0,0.0,0.007267209,0,0.0,0.034526158,7.341006505,3.6147258339999997,19.74185228,1.170443831,12.96033892,0.201793308,0.041861892000000005,6.559117424,4.508826893999999,0.9828959820000001,2.1101743280000003,0.955509719,24.16788263,8.574967823,0.5192475000000001,1.542521002,10.46658148,18.42166135,0.86383737,0.9279820059999999
50,WT,3.0,3,2.688,7.475991218,2.147309746,106.4501946,21.51718133,0.8165152729999999,0.405704898,0.17066679199999998,2.2708382830000002,0.011379618000000001,0.0,0.189170605,0.0,0.0,0.006119838000000001,0,0.0,0.032970905,8.714102431,3.9937148660000004,20.1870316,1.17407575,13.227507500000002,0.200271625,0.056488167,8.372765506,4.9368455430000004,1.112998111,1.632985823,1.265703,20.83134858,8.829618474,0.549432062,1.303634711,12.18776378,20.05096228,0.7525055740000001,0.982771913
51,I1,3.0,1,1.84,1.463874696,0.40746174399999996,30.27904962,11.27215344,1.708421594,0.21951909100000003,0.038991302,0.591944454,0.49601991,0.269515398,0.142276015,0.0,0.018484296,1.058589242,0,0.0,0.062284302,9.423937202000001,4.27059759,15.61036688,1.717699864,12.40330247,0.071225814,0.03120601,8.077385307,6.291270096,5.798532961,0.409447754,0.313839677,25.12537936,9.106458113,2.234414662,1.754089721,8.168196764,17.087560999999997,1.099091378,0.6657300110000001
52,I1,3.0,2,1.879,2.096814246,0.69377925,46.09359042,16.15134461,2.267251597,0.30623171,0.052635129,1.071693941,0.704513788,0.57637223,0.27560435699999997,0.0,0.026723152000000003,1.722146049,0,0.0,0.131775321,11.87266432,4.764115136,19.67974736,1.918714958,14.18646034,0.10448263099999999,0.070966345,9.369460982,7.501345977000001,5.774341838,1.090498166,0.366116114,32.208547700000004,10.51474536,2.677806409,2.091064389,10.43263455,18.295492899999996,1.3984137819999998,0.887883689
53,I1,3.0,3,1.791,1.504662666,0.370530783,31.10670253,11.52282427,1.6255283809999999,0.20686385399999999,0.040030948999999996,0.634944257,0.527081941,0.505121309,0.1779252,0.0,0.020650638,1.0890950179999999,0,0.0,0.072136431,11.573836,4.758828485,19.54215174,2.280237846,15.8243215,0.106746887,0.049786221,9.071528661,7.112654714,6.053348413999999,1.0998355309999999,0.408015646,32.57871639,11.63992788,2.641288444,2.3937634219999997,10.51622539,18.17367234,1.546581336,0.9092775009999999
54,I2,3.0,1,2.0709999999999997,1.7291578380000001,0.9937586359999999,31.90544943,15.31652291,1.394273604,0.26975820699999997,0.090915224,1.286368444,1.155821242,1.295629216,0.34598032799999995,0.06327617,0.078963726,2.9982838839999997,0,4.261709933000001,0.160187672,10.72537294,4.106867875,16.69174394,1.819178032,12.33931567,0.111065069,0.062654145,8.563337771,6.669238867000001,4.469962009,0.401276584,0.306942732,33.80389729,10.33580525,2.3789578209999998,2.0921366630000002,9.977601299,17.74772693,1.305086682,1.638604666
55,I2,3.0,2,2.036,1.9555184669999999,1.173958065,47.94654539,17.14433184,1.600846446,0.362584489,0.112056365,1.6205522119999998,1.268189237,1.38695437,0.38994039,0.069517507,0.081131846,3.0687147830000003,0,4.773146007,0.166330065,9.574304177,4.020869394,15.86364415,1.7390334680000001,12.06357992,0.098708926,0.061622172999999995,7.798740277,6.330552642000001,3.391313228,0.394583636,0.28906611600000004,29.19554214,9.859130689,2.217050749,1.9320067859999999,9.256205968,17.1849806,1.336335282,1.541165275
56,I2,3.0,3,2.082,1.665354159,1.32943827,44.97642754,16.08865093,1.55264828,0.31389024600000004,0.101836871,1.522306471,1.23884219,1.613098286,0.383974242,0.06837945299999999,0.08288205,2.9513370919999997,0,4.69552241,0.16339658199999998,11.22944193,4.278393469,18.06645903,1.821306556,13.21933829,0.115395101,0.070040155,9.192003966,6.824300337,3.9762497569999997,1.1156708290000001,0.340835375,29.92576872,10.66538986,2.431714107,2.0898650290000003,10.05112634,17.73027802,1.17170235,1.608542341
57,I3,3.0,1,1.851,1.396793863,0.7609342579999999,33.44773060000001,13.16677112,1.555061385,0.24659826899999998,0.069034064,1.11862404,0.938061787,1.243944106,0.265512724,0.076708421,0.076321969,3.289536903,0,0.0,0.147958959,12.82807985,4.693261424,15.6545891,2.036379582,12.67220161,0.157991357,0.0,8.799146375,7.485645804,7.9043306179999995,1.282826827,0.291877523,31.09259738,11.02273751,2.645901814,2.237993372,10.32477083,17.96196674,1.597212111,1.3626624569999999
58,I3,3.0,2,1.824,1.302815153,0.633188051,21.29883202,11.31177273,1.5381428469999998,0.231518195,0.061030508,0.855166933,0.85685964,0.94982151,0.225443673,0.059148995,0.062115523,2.673253943,0,0.0,0.125404229,11.40535283,4.433603997,13.822506200000001,1.92077711,12.697524099999999,0.128012923,0.048514472999999995,9.039097314,6.771549131,7.062713545,1.238866325,0.24126825100000002,31.547653399999998,9.089287743,2.492030652,1.9060589630000002,8.896696536,17.27611367,1.0525090540000002,1.105700442
59,I3,3.0,3,1.828,1.855686255,1.1171925740000002,31.03642478,16.29266895,1.7551769990000001,0.318632393,0.09244382599999999,1.4764689640000002,1.247582899,1.6709667609999999,0.36795932600000003,0.076051787,0.083262027,4.026270563,0,0.0,0.23618392100000002,13.53060547,4.986562834,17.06368176,2.154210392,13.482447,0.19197001100000002,0.060956915,9.959498096,8.362481338,8.098362004,1.283922817,0.348938976,37.11057728,10.48132825,3.0327958489999998,2.314692323,11.93655682,18.74066714,1.795645688,1.64251768
